club,clubLabel,venue,venueLabel,coordinates,countryLabel
http://www.wikidata.org/entity/Q18747,West Ham United F.C.,http://www.wikidata.org/entity/Q172190,London Stadium,Point(-0.016388888 51.538611111),United Kingdom
http://www.wikidata.org/entity/Q31660,Sepahan F.C.,http://www.wikidata.org/entity/Q5931161,Naghsh-e-Jahan Stadium,Point(51.686203 32.743267),Iran
http://www.wikidata.org/entity/Q31821,Feralpisalò,http://www.wikidata.org/entity/Q3967826,Stadio Lino Turina,Point(10.5128 45.6039),Italy
http://www.wikidata.org/entity/Q31821,Feralpisalò,http://www.wikidata.org/entity/Q3967826,Stadio Lino Turina,Point(10.51308333 45.60394444),Italy
http://www.wikidata.org/entity/Q31932,NK Olimpija Ljubljana,http://www.wikidata.org/entity/Q543404,Stožice Stadium,Point(14.521389 46.081111),Slovenia
http://www.wikidata.org/entity/Q18517,Hyde United F.C.,http://www.wikidata.org/entity/Q619100,Ewen Fields,Point(-2.068114 53.4506),United Kingdom
http://www.wikidata.org/entity/Q18518,Kidderminster Harriers F.C.,http://www.wikidata.org/entity/Q4692188,Aggborough,Point(-2.242652777 52.380472222),United Kingdom
http://www.wikidata.org/entity/Q18519,Lincoln City F.C.,http://www.wikidata.org/entity/Q619105,Sincil Bank,Point(-0.540811 53.218289),United Kingdom
http://www.wikidata.org/entity/Q18520,Luton Town F.C.,http://www.wikidata.org/entity/Q1613767,Kenilworth Road,Point(-0.431666666 51.884166666),United Kingdom
http://www.wikidata.org/entity/Q19449,Blackpool F.C.,http://www.wikidata.org/entity/Q870859,Bloomfield Road,Point(-3.048056 53.804722),United Kingdom
http://www.wikidata.org/entity/Q19456,Bristol City F.C.,http://www.wikidata.org/entity/Q726370,Ashton Gate Stadium,Point(-2.620278 51.44),United Kingdom
http://www.wikidata.org/entity/Q81566,KS Vllaznia Shkodër,http://www.wikidata.org/entity/Q1870384,Loro Boriçi Stadium,Point(19.506558 42.070031),Albania
http://www.wikidata.org/entity/Q81888,AFC Ajax,http://www.wikidata.org/entity/Q207109,Johan Cruyff Arena,Point(4.941944444 52.314166666),Netherlands
http://www.wikidata.org/entity/Q2710,Delfino Pescara 1936,http://www.wikidata.org/entity/Q1509993,Stadio Adriatico,Point(14.22944444 42.45527778),Italy
http://www.wikidata.org/entity/Q73996,KF Skënderbeu Korçë,http://www.wikidata.org/entity/Q1336599,Skënderbeu Stadium,Point(20.782778 40.625833),Albania
http://www.wikidata.org/entity/Q74030,Football Bourg-en-Bresse Péronnas 01,http://www.wikidata.org/entity/Q3495731,Stade Marcel-Verchère,Point(5.237222 46.21),France
http://www.wikidata.org/entity/Q19353,FC Anzhi Makhachkala,http://www.wikidata.org/entity/Q3660718,Anji Arena,Point(47.618587 42.907901),Russia
http://www.wikidata.org/entity/Q19384,FK Senica,http://www.wikidata.org/entity/Q392301,Štadión FK Senica,Point(17.376808 48.684133),Slovakia
http://www.wikidata.org/entity/Q19442,Barnsley F.C.,http://www.wikidata.org/entity/Q1138270,Oakwell,Point(-1.4675 53.552222),United Kingdom
http://www.wikidata.org/entity/Q29400,Taranto Sport,http://www.wikidata.org/entity/Q2541428,Stadio Erasmo Iacovone,Point(17.27 40.452778),Italy
http://www.wikidata.org/entity/Q29602,FC Dinamo-Polyot Bishkek,http://www.wikidata.org/entity/Q3042016,Dynamo Stadion,Point(74.60083333 42.83722222),Kyrgyzstan
http://www.wikidata.org/entity/Q31420,NK Aluminij,http://www.wikidata.org/entity/Q16632819,Kidričevo Sports Park,Point(15.7897 46.4078),Slovenia
http://www.wikidata.org/entity/Q31533,NK Celje,http://www.wikidata.org/entity/Q641455,Stadion Z'dežele,Point(15.270278 46.246667),Slovenia
http://www.wikidata.org/entity/Q19458,Burnley F.C.,http://www.wikidata.org/entity/Q683112,Turf Moor,Point(-2.230225 53.789064),United Kingdom
http://www.wikidata.org/entity/Q19462,Charlton Athletic F.C.,http://www.wikidata.org/entity/Q958319,The Valley,Point(0.035632 51.487489),United Kingdom
http://www.wikidata.org/entity/Q521580,SD Órdenes,http://www.wikidata.org/entity/Q116977409,Q116977409,Point(-8.41699 43.07396),Spain
http://www.wikidata.org/entity/Q522186,FC Forex Brașov,http://www.wikidata.org/entity/Q7596394,Stadionul Forex,Point(25.610821 45.666934),Romania
http://www.wikidata.org/entity/Q522283,Red Star F.C.,http://www.wikidata.org/entity/Q1320249,Stade de Paris,Point(2.340833 48.905833),France
http://www.wikidata.org/entity/Q522566,Brasiliense Futebol Clube,http://www.wikidata.org/entity/Q8144188,Serejão,Point(-48.080657 -15.836146),Brazil
http://www.wikidata.org/entity/Q522772,Foresta Fălticeni,http://www.wikidata.org/entity/Q7596363,Stadionul Areni,Point(27.94715 45.258058),Romania
http://www.wikidata.org/entity/Q522901,Bocskai FC,http://www.wikidata.org/entity/Q1214829,Debrecen Stadion,Point(21.638888888 47.549444444),Hungary
http://www.wikidata.org/entity/Q38395,FC Dordoi Bishkek,http://www.wikidata.org/entity/Q3108699,Spartak Stadium,Point(74.59793889 42.880175),Kyrgyzstan
